,Date,Total Confirmed,Total Deaths,New Confirmed,New Deaths,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Total Vaccinations,New People Vaccinated,New People Fully Vaccinated
111,10/27/21,245731731,4974677,520080.0,9178.0,5960552266.0,2121345085.0,1458943158.0,21784725.0,6683826.0,8126052.0
112,10/28/20,44555324,1227502,520723.0,7219.0,0.0,0.0,0.0,0.0,0.0,0.0
113,10/28/21,246195588,4983478,463857.0,8801.0,6268926269.0,2300961300.0,1595576968.0,23604785.0,7187802.0,8975051.0
114,10/29/20,45107646,1234716,552322.0,7214.0,0.0,0.0,0.0,0.0,0.0,0.0
115,10/29/21,246704559,4991351,508971.0,7873.0,6090493169.0,2214904889.0,2573602247.0,26745618.0,8650634.0,9794746.0
116,10/3/20,34974017,1083744,296480.0,4732.0,0.0,0.0,0.0,0.0,0.0,0.0
117,10/3/21,235526160,4804045,311898.0,4244.0,5708229075.0,2071384435.0,1375747951.0,11147870.0,5032206.0,4946999.0
118,10/30/20,45680336,1242411,572690.0,7695.0,0.0,0.0,0.0,0.0,0.0,0.0
119,10/30/21,247093893,4997352,389334.0,6001.0,6049558922.0,2189763547.0,1489918278.0,29909771.0,9956968.0,11922278.0
120,10/31/20,46149688,1249011,469352.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0
121,10/31/21,247439679,5001835,345786.0,4483.0,6376648467.0,2320547720.0,1647002887.0,15326178.0,4063079.0,4462859.0
122,10/4/20,35233157,1087735,259140.0,3991.0,0.0,0.0,0.0,0.0,0.0,0.0
